Entities,Counts,Appearance_Percent,Popularity,Normalized Score,Popularity_Growth
QUIX,3,7.69,23.07,0.002717279892552929,0.00272
Toro Y Moi,3,7.69,23.07,0.002717279892552929,0.00272
Indiana,3,7.69,23.07,0.002717279892552929,0.00272
Paak,3,7.69,23.07,0.002717279892552929,0.00272
Rita Ora,3,7.69,23.07,0.002717279892552929,0.00272
Supa Bwe,3,7.69,23.07,0.002717279892552929,0.00272
Esperanza Spalding,3,7.69,23.07,0.002717279892552929,0.00272
Johnny Cash,3,7.69,23.07,0.002717279892552929,0.00272
Mother’s Day,3,7.69,23.07,0.002717279892552929,0.00272
Avalon Emerson,3,7.69,23.07,0.002717279892552929,0.00272
Patience,3,7.69,23.07,0.002717279892552929,0.00272
Ozuna,3,7.69,23.07,0.002717279892552929,0.00272
Denis Sulta,3,7.69,23.07,0.002717279892552929,0.00272
Daddy Yankee,3,7.69,23.07,0.002717279892552929,0.00272
Gesaffelstein,3,7.69,23.07,0.002717279892552929,0.00272
Tom Flynn,3,7.69,23.07,0.002717279892552929,0.00272
Carl Falk,3,7.69,23.07,0.002717279892552929,0.00272
Jon Bellion,3,7.69,23.07,0.002717279892552929,0.00272
Springsteen’s,3,7.69,23.07,0.002717279892552929,0.00272
Bruce Springsteen,3,7.69,23.07,0.002717279892552929,0.00272
Abstract’s,3,7.69,23.07,0.002717279892552929,0.00272
Florence,3,7.69,23.07,0.002717279892552929,0.00272
Kim English,3,7.69,23.07,0.002717279892552929,0.00272
PJ Harvey’s,3,7.69,23.07,0.002717279892552929,0.00272
Marc Masters,6,3.85,23.1,0.002721521224331107,0.00272
Depth Perception,6,3.85,23.1,0.002721521224331107,0.00272
Talib Kweli,6,3.85,23.1,0.002721521224331107,0.00272
Nyla,6,3.85,23.1,0.002721521224331107,0.00272
Deadbeats,3,7.69,23.07,0.002717279892552929,0.00272
Oxnard,3,7.69,23.07,0.002717279892552929,0.00272
Jillionaire,3,7.69,23.07,0.002717279892552929,0.00272
Madonna’s,3,7.69,23.07,0.002717279892552929,0.00272
Sweetener,3,7.69,23.07,0.002717279892552929,0.00272
Kelly Moran,3,7.69,23.07,0.002717279892552929,0.00272
